recency_candidate_id,model_id,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one
single,blend_logistic_weighted_60_40,3936,0.591463,0.66505,0.236433,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_logistic_weighted_70_30,3936,0.590193,0.663267,0.235632,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_fixed_50_50__elo_form_tuned__logistic_engineered,1312,0.598323,0.660392,0.234108,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_fixed_50_50__logistic_engineered__elo_form_tuned,2624,0.58003,0.66769,0.237825,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_fixed_65_35__elo_form_tuned__logistic_engineered,1312,0.602134,0.6633,0.235462,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_fixed_65_35__logistic_engineered__elo_form_tuned,2624,0.578506,0.664479,0.236368,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_validated__elo_form_tuned__logistic_engineered,1312,0.598323,0.660392,0.234108,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top2_validated__logistic_engineered__elo_form_tuned,2624,0.578887,0.66373,0.236039,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top3_fixed_50_30_20__elo_form_tuned__logistic_engineered__weighted_calibrated,1312,0.602134,0.665007,0.236285,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top3_fixed_50_30_20__logistic_engineered__elo_form_tuned__weighted_calibrated,2624,0.577363,0.666868,0.237379,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top3_validated__elo_form_tuned__logistic_engineered__weighted_calibrated,1312,0.60061,0.664007,0.235817,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,blend_top3_validated__logistic_engineered__elo_form_tuned__weighted_calibrated,2624,0.577363,0.666868,0.237379,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,elo_form_tuned,3936,0.567073,0.684379,0.245339,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,logistic_engineered,3936,0.592226,0.661336,0.234841,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated,3936,0.547002,0.686955,0.246877,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated_isotonic,3936,0.537856,0.706134,0.24781,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated_platt,3936,0.547002,0.686955,0.246877,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
