recency_candidate_id,model_id,season,season_label,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one
single,logistic_engineered,20232024,2023-2024,1312,0.608994,0.658249,0.233126,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,logistic_engineered,20242025,2024-2025,1312,0.608232,0.645111,0.22753,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,logistic_engineered,20252026,2025-2026,1312,0.559451,0.680646,0.243867,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated,20232024,2023-2024,1312,0.55564,0.685436,0.24606,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated,20242025,2024-2025,1312,0.560213,0.679866,0.243498,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated,20252026,2025-2026,1312,0.525152,0.695564,0.251072,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated_isotonic,20232024,2023-2024,1312,0.548018,0.723124,0.247676,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated_isotonic,20242025,2024-2025,1312,0.544207,0.690538,0.244509,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated_isotonic,20252026,2025-2026,1312,0.521341,0.704739,0.251246,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated_platt,20232024,2023-2024,1312,0.55564,0.685436,0.24606,season_regime,hybrid_exponential,0.85,552.5,0.09000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated_platt,20242025,2024-2025,1312,0.560213,0.679866,0.243498,season_regime,hybrid_exponential,1.0,650.0,0.1,True,hybrid_exponential,1.0,650.0,0.1,True
single,weighted_calibrated_platt,20252026,2025-2026,1312,0.525152,0.695564,0.251072,season_regime,hybrid_exponential,1.25,780.0,0.11000000000000001,True,hybrid_exponential,1.0,650.0,0.1,True
