recency_candidate_id,model_id,season,season_label,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one,nonlinear_model_backend,nonlinear_model_style,is_synthetic,data_source
single,logistic_engineered,20172018,2017-2018,468,0.534188,0.701679,0.253684,season_regime_drift,hybrid_exponential,1.7999999999999998,960.0,0.22000000000000003,True,hybrid_exponential,1.5,800.0,0.2,True,skipped,logistic_only,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
single,logistic_engineered,20212022,2021-2022,1312,0.504573,0.706447,0.256308,season_regime_drift,hybrid_exponential,1.4249999999999998,760.0,0.18000000000000002,True,hybrid_exponential,1.5,800.0,0.2,True,skipped,logistic_only,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,logistic_engineered,20222023,2022-2023,1312,0.586128,0.669068,0.238369,season_regime_drift,hybrid_exponential,0.9750000000000001,480.0,0.13999999999999999,True,hybrid_exponential,1.5,800.0,0.2,True,skipped,logistic_only,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,logistic_engineered,20232024,2023-2024,1312,0.603659,0.659612,0.233785,season_regime_drift,hybrid_exponential,0.9750000000000001,480.0,0.13999999999999999,True,hybrid_exponential,1.5,800.0,0.2,True,skipped,logistic_only,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,logistic_engineered,20242025,2024-2025,1312,0.608232,0.650548,0.230214,season_regime_drift,hybrid_exponential,0.9750000000000001,480.0,0.13999999999999999,True,hybrid_exponential,1.5,800.0,0.2,True,skipped,logistic_only,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,logistic_engineered,20252026,2025-2026,1312,0.560213,0.678181,0.242903,season_regime_drift,hybrid_exponential,0.9750000000000001,480.0,0.13999999999999999,True,hybrid_exponential,1.5,800.0,0.2,True,skipped,logistic_only,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
