season,season_type,team_id,team_abbreviation,team_name,games_played,off_goals_for,off_shots_for,off_goals_per_game,off_shots_per_game,off_shooting_pct,off_shooting_pct_5v5,def_goals_against,def_goals_against_per_game,def_shots_against_per_game,def_shots_against_est_total,def_save_pct_est,def_save_pct_5v5,st_power_play_pct,st_penalty_kill_pct,st_special_teams_index,st_power_play_goals_for,st_power_play_opportunities,st_power_play_goal_rate_pct,st_times_shorthanded,st_power_play_goals_against,st_pp_goals_against_rate_pct,puck_faceoff_win_pct,puck_sat_pct,puck_blocked_shots,puck_hits,puck_takeaways,puck_giveaways,player_skater_count,player_skater_goals_total,player_skater_assists_total,player_skater_points_total,player_skater_shots_total,player_skater_points_per_game,player_top_scorer_points,player_top_scorer_points_share,player_skater_hits_total,player_skater_blocked_shots_total,player_skater_takeaways_total,player_skater_giveaways_total,player_goalie_count,player_goalie_games_started_total,player_goalie_wins_total,player_goalie_saves_total,player_goalie_shots_against_total,player_goalie_goals_against_total,player_goalie_save_pct_weighted,player_goalie_save_pct_avg,player_goalie_win_pct,pressure_goal_within_5_shots_count,pressure_goal_within_10_shots_count,pressure_goal_within_15_shots_count,pressure_goal_within_5_shots_rate,pressure_goal_within_10_shots_rate,pressure_goal_within_15_shots_rate,pressure_avg_shots_needed_per_goal,pressure_goals_analyzed,pressure_games_analyzed
20252026,regular,30,edm,Edmonton Oilers,82.0,282.0,2438.0,3.439024,29.731707,11.566858,0.09167,265.0,3.231707,26.70731,2189.99942,87.89954,0.88973,0.306306,0.778281,1.084587,68.0,222.0,30.630631,221.0,49.0,22.171946,0.526014,0.502359,1198.0,1545.0,345.0,1241.0,31,289.0,501.0,790.0,2564.0,0.490074,138.0,0.174684,1886.0,1345.0,385.0,1333.0,3,72.0,39.0,1777.0,2005.0,228.0,88.628429,0.884007,54.166667,153,229,255,0.542553,0.812057,0.904255,6.75531914893617,282.0,82.0
20252026,regular,31,fla,Florida Panthers,82.0,246.0,2295.0,3.0,27.987805,10.718954,0.09614,274.0,3.341463,26.79268,2196.99976,87.528447,0.89315,0.195488,0.809524,1.005012,52.0,266.0,19.548872,273.0,52.0,19.047619,0.467549,0.518737,992.0,2024.0,343.0,1129.0,35,249.0,396.0,645.0,2303.0,0.435223,61.0,0.094574,2062.0,966.0,343.0,1105.0,2,82.0,40.0,1924.0,2175.0,251.0,88.45977,0.885965,48.780488,128,189,217,0.520325,0.768293,0.882114,7.32520325203252,246.0,82.0
20252026,regular,23,lak,Los Angeles Kings,82.0,220.0,2297.0,2.682927,28.012195,9.57771,0.08407,238.0,2.902439,27.17073,2227.99986,89.317773,0.9174,0.169642,0.745834,0.915476,38.0,224.0,16.964286,240.0,61.0,25.416667,0.497544,0.520812,1199.0,1650.0,367.0,1255.0,26,246.0,399.0,645.0,2407.0,0.428856,84.0,0.130233,1645.0,1214.0,374.0,1286.0,3,82.0,35.0,1991.0,2214.0,224.0,89.927733,0.897973,42.682927,100,160,191,0.454545,0.727273,0.868182,8.040909090909091,220.0,82.0
20252026,regular,26,min,Minnesota Wild,82.0,268.0,2393.0,3.268293,29.182927,11.199331,0.0909,235.0,2.865854,29.40243,2410.99926,90.253004,0.91666,0.251937,0.798123,1.05006,65.0,258.0,25.193798,213.0,43.0,20.187793,0.466382,0.484722,1268.0,1742.0,374.0,1181.0,30,282.0,492.0,774.0,2548.0,0.501946,89.0,0.114987,1961.0,1400.0,392.0,1240.0,2,82.0,46.0,2179.0,2397.0,220.0,90.905298,0.909905,56.097561,129,207,239,0.481343,0.772388,0.891791,7.335820895522388,268.0,82.0
20252026,regular,19,mtl,Montréal Canadiens,82.0,279.0,2156.0,3.402439,26.292683,12.940631,0.11281,251.0,3.060976,27.82926,2281.99932,89.000873,0.90594,0.231404,0.782259,1.013663,56.0,242.0,23.140496,248.0,54.0,21.774194,0.509786,0.48242,1331.0,1810.0,364.0,1094.0,28,277.0,484.0,761.0,2194.0,0.506995,101.0,0.13272,1791.0,1336.0,366.0,1121.0,3,82.0,48.0,2031.0,2270.0,239.0,89.471366,0.894117,58.536585,157,232,260,0.562724,0.831541,0.9319,6.114695340501792,279.0,82.0
20252026,regular,2,njd,New Jersey Devils,82.0,226.0,2426.0,2.756098,29.585366,9.315746,0.07222,253.0,3.085366,27.36585,2243.9997,88.725489,0.89844,0.219512,0.79327,1.012782,45.0,205.0,21.95122,208.0,43.0,20.673077,0.505188,0.512928,1131.0,1514.0,380.0,1282.0,32,227.0,370.0,597.0,2377.0,0.430736,77.0,0.128978,1395.0,1063.0,365.0,1248.0,3,82.0,42.0,1994.0,2231.0,238.0,89.376961,0.8984,51.219512,95,163,196,0.420354,0.721239,0.867257,7.95575221238938,226.0,82.0
20252026,regular,12,nsh,Nashville Predators,82.0,242.0,2285.0,2.95122,27.865854,10.59081,0.08738,267.0,3.256098,29.62195,2428.9999,89.007822,0.90501,0.231092,0.817074,1.048166,55.0,238.0,23.109244,246.0,45.0,18.292683,0.504733,0.494522,1005.0,1576.0,425.0,1201.0,25,211.0,360.0,571.0,1951.0,0.462348,75.0,0.131349,1205.0,835.0,363.0,1032.0,2,82.0,38.0,2164.0,2411.0,248.0,89.755288,0.900345,46.341463,124,175,207,0.512397,0.72314,0.855372,7.566115702479339,242.0,82.0
20252026,regular,22,nyi,New York Islanders,82.0,229.0,2309.0,2.792683,28.158537,9.917713,0.0828,236.0,2.878049,27.69512,2270.99984,89.608101,0.9096,0.165289,0.808412,0.973701,40.0,242.0,16.528926,214.0,41.0,19.158879,0.526467,0.490097,1185.0,1599.0,368.0,1156.0,28,239.0,381.0,620.0,2331.0,0.420054,72.0,0.116129,1733.0,1197.0,368.0,1146.0,3,82.0,43.0,2035.0,2257.0,222.0,90.163934,0.8382,52.439024,119,174,210,0.519651,0.759825,0.917031,7.37117903930131,229.0,82.0
20252026,regular,21,nyr,New York Rangers,82.0,235.0,2064.0,2.865854,25.170732,11.385659,0.09538,249.0,3.036585,28.82926,2363.99932,89.467002,0.91352,0.246511,0.799197,1.045708,53.0,215.0,24.651163,249.0,50.0,20.080321,0.545151,0.486457,1176.0,2112.0,366.0,1190.0,30,211.0,371.0,582.0,1837.0,0.427313,78.0,0.134021,2016.0,1118.0,338.0,1076.0,4,82.0,34.0,2115.0,2339.0,224.0,90.423258,0.903655,41.463415,140,194,218,0.595745,0.825532,0.92766,6.212765957446808,235.0,82.0
20252026,regular,9,ott,Ottawa Senators,82.0,275.0,2371.0,3.353659,28.914634,11.598482,0.09955,245.0,2.987805,24.40243,2000.99926,87.756117,0.89325,0.239543,0.757447,0.99699,63.0,263.0,23.954373,235.0,57.0,24.255319,0.545119,0.525612,1101.0,1953.0,413.0,1130.0,30,272.0,461.0,733.0,2379.0,0.497962,83.0,0.113233,1937.0,1093.0,415.0,1152.0,5,82.0,44.0,1756.0,1992.0,236.0,88.15261,0.860614,53.658537,144,219,256,0.523636,0.796364,0.930909,6.752727272727273,275.0,82.0
20252026,regular,29,phi,Philadelphia Flyers,82.0,240.0,2088.0,2.926829,25.463415,11.494253,0.10228,239.0,2.914634,25.45121,2086.99922,88.548151,0.90545,0.157446,0.775511,0.932957,37.0,235.0,15.744681,245.0,55.0,22.44898,0.494852,0.475971,1237.0,1882.0,349.0,1191.0,32,225.0,384.0,609.0,1971.0,0.437815,68.0,0.111658,1704.0,1195.0,341.0,1159.0,3,82.0,43.0,1848.0,2074.0,226.0,89.103182,0.86836,52.439024,120,185,222,0.5,0.770833,0.925,7.0,240.0,82.0
20252026,regular,18,pit,Pittsburgh Penguins,82.0,290.0,2343.0,3.536585,28.573171,12.377294,0.11129,258.0,3.146341,27.36585,2243.9997,88.502672,0.90114,0.241379,0.814346,1.055725,56.0,232.0,24.137931,237.0,44.0,18.565401,0.482095,0.501877,1204.0,1444.0,406.0,1306.0,37,296.0,491.0,787.0,2400.0,0.513708,74.0,0.094028,1514.0,1197.0,418.0,1347.0,2,42.0,20.0,1010.0,1136.0,127.0,88.908451,0.89239,47.619048,166,239,270,0.572414,0.824138,0.931034,6.289655172413793,290.0,82.0
20252026,regular,24,sea,Seattle Kraken,82.0,224.0,2095.0,2.731707,25.54878,10.692124,0.0934,257.0,3.134146,29.45121,2414.99922,89.358175,0.91761,0.195454,0.722223,0.917677,43.0,220.0,19.545455,216.0,60.0,27.777778,0.477162,0.459738,1279.0,1517.0,392.0,1188.0,26,237.0,372.0,609.0,2174.0,0.403311,55.0,0.090312,1580.0,1280.0,394.0,1176.0,5,82.0,34.0,2160.0,2392.0,234.0,90.301003,0.912178,41.463415,118,173,209,0.526786,0.772321,0.933036,6.741071428571429,224.0,82.0
20252026,regular,20,sjs,San Jose Sharks,82.0,249.0,2112.0,3.036585,25.756098,11.789773,0.10099,290.0,3.536585,29.64634,2430.99988,88.070752,0.89724,0.211764,0.764228,0.975992,54.0,255.0,21.176471,246.0,58.0,23.577236,0.47811,0.469721,1204.0,1794.0,375.0,1298.0,28,284.0,444.0,728.0,2295.0,0.47769,115.0,0.157967,2041.0,1138.0,412.0,1370.0,3,82.0,39.0,2143.0,2413.0,272.0,88.810609,0.854117,47.560976,137,202,229,0.550201,0.811245,0.919679,6.405622489959839,249.0,82.0
20252026,regular,6,stl,St. Louis Blues,82.0,230.0,2077.0,2.804878,25.329268,11.073664,0.09773,254.0,3.097561,27.70731,2271.99942,88.82042,0.90218,0.175925,0.766817,0.942742,38.0,216.0,17.592593,223.0,52.0,23.318386,0.493662,0.483395,1116.0,1796.0,358.0,1138.0,26,201.0,345.0,546.0,1785.0,0.424903,64.0,0.117216,1450.0,931.0,309.0,1010.0,2,82.0,37.0,2019.0,2260.0,242.0,89.336283,0.89143,45.121951,125,177,208,0.543478,0.769565,0.904348,6.756521739130434,230.0,82.0
20252026,regular,17,tbl,Tampa Bay Lightning,82.0,286.0,2305.0,3.487805,28.109756,12.407809,0.11098,229.0,2.792683,26.69512,2188.99984,89.538601,0.90815,0.207317,0.825582,1.032899,51.0,246.0,20.731707,258.0,45.0,17.44186,0.473892,0.530219,1006.0,1642.0,336.0,1203.0,32,295.0,547.0,842.0,2466.0,0.554677,130.0,0.154394,1710.0,1118.0,385.0,1328.0,3,82.0,50.0,1962.0,2174.0,214.0,90.24839,0.868477,60.97561,158,234,258,0.552448,0.818182,0.902098,6.594405594405594,286.0,82.0
20252026,regular,32,tor,Toronto Maple Leafs,82.0,252.0,2159.0,3.073171,26.329268,11.67207,0.10282,295.0,3.597561,32.43902,2659.99964,88.909773,0.90004,0.213197,0.812228,1.025425,42.0,197.0,21.319797,229.0,43.0,18.777293,0.541766,0.454674,1239.0,1870.0,378.0,1298.0,29,219.0,371.0,590.0,1922.0,0.449695,79.0,0.133898,1570.0,1154.0,335.0,1194.0,5,82.0,32.0,2368.0,2637.0,272.0,89.799014,0.88402,39.02439,134,194,229,0.531746,0.769841,0.90873,7.035714285714286,252.0,82.0
20252026,regular,25,uta,Utah Mammoth,82.0,268.0,2272.0,3.268293,27.707317,11.795775,0.10289,240.0,2.926829,26.14634,2143.99988,88.80597,0.90042,0.2,0.781377,0.981377,46.0,230.0,20.0,247.0,54.0,21.862348,0.492474,0.528732,1117.0,1580.0,353.0,1313.0,26,271.0,453.0,724.0,2387.0,0.478203,88.0,0.121547,1709.0,1243.0,367.0,1395.0,2,82.0,43.0,1905.0,2132.0,228.0,89.35272,0.89003,52.439024,150,213,247,0.559701,0.794776,0.921642,6.4216417910447765,268.0,82.0
20252026,regular,4,van,Vancouver Canucks,82.0,210.0,2129.0,2.560976,25.963415,9.863786,0.08182,314.0,3.829268,29.81707,2444.99974,87.157463,0.89197,0.217948,0.714913,0.932861,51.0,234.0,21.794872,228.0,65.0,28.508772,0.493092,0.469019,1108.0,1739.0,364.0,1249.0,30,188.0,314.0,502.0,1826.0,0.372128,51.0,0.101594,1549.0,989.0,302.0,1098.0,4,82.0,25.0,2132.0,2421.0,290.0,88.062784,0.8697,30.487805,108,167,193,0.514286,0.795238,0.919048,6.947619047619048,210.0,82.0
20252026,regular,3,vgk,Vegas Golden Knights,82.0,264.0,2377.0,3.219512,28.987805,11.106437,0.09329,242.0,2.95122,24.39024,1999.99968,87.899998,0.88974,0.245762,0.813726,1.059488,58.0,236.0,24.576271,204.0,38.0,18.627451,0.509544,0.523085,1179.0,1713.0,363.0,1292.0,29,284.0,497.0,781.0,2599.0,0.505502,90.0,0.115237,1662.0,1256.0,400.0,1393.0,4,82.0,39.0,1758.0,1989.0,231.0,88.386124,0.881765,47.560976,137,199,234,0.518939,0.753788,0.886364,7.15530303030303,264.0,82.0
20252026,regular,10,wpg,Winnipeg Jets,82.0,229.0,2162.0,2.792683,26.365854,10.592044,0.09286,256.0,3.121951,27.76829,2276.99978,88.757135,0.90536,0.185022,0.776316,0.961338,42.0,227.0,18.502203,228.0,51.0,22.368421,0.511055,0.48956,1121.0,1776.0,330.0,1161.0,28,215.0,374.0,589.0,2013.0,0.446212,103.0,0.174873,1475.0,973.0,307.0,1048.0,4,132.0,58.0,3146.0,3530.0,384.0,89.121813,0.886015,43.939394,114,179,212,0.497817,0.781659,0.925764,6.816593886462882,229.0,82.0
20252026,regular,1,wsh,Washington Capitals,82.0,261.0,2299.0,3.182927,28.036585,11.352762,0.1024,238.0,2.902439,28.13414,2306.99948,89.683569,0.91585,0.178423,0.800797,0.97922,43.0,241.0,17.842324,251.0,50.0,19.920319,0.493212,0.495283,1307.0,1615.0,373.0,1212.0,26,248.0,402.0,650.0,2171.0,0.461976,64.0,0.098462,1516.0,1259.0,329.0,1142.0,3,82.0,43.0,2069.0,2290.0,221.0,90.349345,0.903767,52.439024,130,197,232,0.498084,0.754789,0.888889,7.318007662835249,261.0,82.0
