recency_candidate_id,model_id,season,season_label,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one,nonlinear_model_backend,nonlinear_model_style,is_synthetic,data_source
single,blend_top2_fixed_50_50__logistic_engineered__elo_form_tuned,20242025,2024-2025,1312,0.599848,0.655871,0.232197,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top2_fixed_50_50__logistic_engineered__elo_form_tuned,20252026,2025-2026,1312,0.56936,0.676798,0.242141,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top2_fixed_50_50__nonlinear_tree__logistic_engineered,20172018,2017-2018,468,0.529915,0.720968,0.261826,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
single,blend_top2_fixed_50_50__weighted_calibrated__elo_form_tuned,20212022,2021-2022,1312,0.616616,0.667519,0.236843,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top2_fixed_65_35__elo_form_tuned__weighted_calibrated,20222023,2022-2023,1312,0.592226,0.666615,0.236946,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top2_fixed_65_35__elo_form_tuned__weighted_calibrated,20232024,2023-2024,1312,0.583841,0.671316,0.239344,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top2_fixed_65_35__logistic_engineered__elo_form_tuned,20242025,2024-2025,1312,0.60061,0.653125,0.230976,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top2_fixed_65_35__logistic_engineered__elo_form_tuned,20252026,2025-2026,1312,0.568598,0.673653,0.240726,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top2_fixed_65_35__nonlinear_tree__logistic_engineered,20172018,2017-2018,468,0.519231,0.744248,0.271118,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
single,blend_top2_fixed_65_35__weighted_calibrated__elo_form_tuned,20212022,2021-2022,1312,0.61128,0.675691,0.240477,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
