candidate,games,accuracy,log_loss,brier_score
phase1_base,1312.0,0.616616,0.664252,0.23553
deep_feature_base,1312.0,0.617378,0.660604,0.233979
phase1_alt,1312.0,0.612805,0.670509,0.238459
deep_feature_alt,1312.0,0.606707,0.664439,0.235856
season_regime,1312.0,0.598323,0.674386,0.240651
error_slice_adjusted,1312.0,0.618902,0.664445,0.235626
boosted,1312.0,0.620427,0.663181,0.235073
