fold_test_season,fold_train_start_season,fold_train_end_season,recency_candidate_id,recency_selector_mode,recency_selector_regime,calibration_selector_mode,calibration_selector_view,calibration_selector_notes,calibration_selection_objective,calibration_objective_margin,calibration_validation_seasons,selection_fit_games,selection_validation_games,calibration_method,is_selected_method,accuracy,log_loss,brier_score
20212022,20152016,20172018,single,season_regime_drift,middle,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20162017,20172018",470,936,isotonic,0,0.549145,0.749541,0.253126
20212022,20152016,20172018,single,season_regime_drift,middle,season_aware,season_aware_weighted,recency_weighted_over_validation_seasons,joint,0.0005,"20162017,20172018",470,936,platt,1,0.548077,0.690668,0.248725
