season,season_label,games,accuracy,log_loss,brier_score,is_synthetic,data_source
20172018,2017-2018,7020,0.534188,0.691812,0.249275,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
20212022,2021-2022,19680,0.598323,0.674373,0.240644,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20222023,2022-2023,19680,0.591463,0.66709,0.237055,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20232024,2023-2024,19680,0.596037,0.662667,0.235177,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20242025,2024-2025,19680,0.599848,0.660173,0.234043,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
20252026,2025-2026,19680,0.576982,0.678308,0.242798,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
