recency_candidate_id,model_id,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one,nonlinear_model_backend,nonlinear_model_style
sweep_001,logistic_engineered,3936,0.590193,0.65929,0.233973,season_regime_drift,none,1.0,1.0,1.0,True,none,1.0,1.0,1.0,True,skipped,logistic_only
sweep_002,logistic_engineered,3936,0.588415,0.679695,0.241845,season_regime_drift,hybrid_exponential,0.6,216.0,0.022000000000000002,True,hybrid_exponential,0.5,180.0,0.02,True,skipped,logistic_only
